Lat,Long,Species,Present,Total
51.57,-1.312,a white-tailed bumblebee,1,304
53.95,-2.425,White/Buff-tailed Bumblebee workers,1,304
54.9,-1.481,Red-tailed Bumblebee,1,304
51.41,-0.07471,Honeybee,1,302
51.61,-2.218,Common Carder,1,301
57.03,-2.152,Buff-tailed Bumblebee,1,301
53.99,-2.413,White/Buff-tailed Bumblebee workers,1,300
54.24,-1.992,White/Buff-tailed Bumblebee workers,1,299
55.96,-2.673,a white-tailed bumblebee,1,299
53.07,-1.495,Honeybee,1,296
57.28,-4.452,a white-tailed bumblebee,1,294
55.86,-3.174,Early Bumblebee,1,293
56.05,-2.719,Indet. Bee,1,293
54.01,-0.4069,Common Carder,1,292
55.01,-1.634,Honeybee,1,292
51.62,0.4211,Honeybee,1,291
54.29,-4.34,Garden Bumblebee,1,291
51.25,-1.683,Honeybee,1,288
51.38,0.6095,Red-tailed Bumblebee,1,287
55.99,-2.447,Buff-tailed Bumblebee,1,287
51.16,-2.825,White/Buff-tailed Bumblebee workers,1,286
51.41,-0.07471,Buff-tailed Bumblebee,1,286
51.5,0.1438,a white-tailed bumblebee,1,286
51.16,-2.843,Common Carder,1,285
50.73,-1.551,a white-tailed bumblebee,1,283
51.65,-1.868,Honeybee,1,283
55.91,-4.449,Indet. Bee,1,283
57.62,-3.093,Indet. Bee,1,283
50.98,-4.52,Common Carder,1,282
53.18,-1.259,Red-tailed Bumblebee,1,282
51.49,0.2297,White/Buff-tailed Bumblebee workers,1,281
55.95,-3.275,Early Bumblebee,1,281
57.03,-2.152,Early Bumblebee,1,280
52.28,-1.176,Common Carder,1,279
56.06,-4.227,Common Carder,1,279
51,0.963,Red-tailed Bumblebee,1,277
50.87,0.0168,Common Carder,1,274
51.24,-0.003106,Buff-tailed Bumblebee,1,274
52.45,0.9918,Indet. Bee,1,273
54.83,-1.499,Common Carder,1,273
51.57,-0.05343,Common Carder,1,272
52.94,1.139,Red-tailed Bumblebee,1,271
54.21,-3.259,Common Carder,1,271
50.85,-1.068,Common Carder,1,270
55.99,-3.467,Buff-tailed Bumblebee,1,270
56,-3.47,Buff-tailed Bumblebee,1,270
51.56,-0.152,Common Carder,1,267
55.2,-4.225,Common Carder,1,267
51.16,-2.81,White/Buff-tailed Bumblebee workers,1,265
56.16,-3.921,a white-tailed bumblebee,1,265
54.27,-2.392,White/Buff-tailed Bumblebee workers,1,263
52.28,-1.176,a white-tailed bumblebee,1,262
51.53,-0.1271,Honeybee,1,261
56.56,-2.597,Buff-tailed Bumblebee,1,261
57.03,-2.152,White/Buff-tailed Bumblebee workers,1,260
56.19,-3.968,Buff-tailed Bumblebee,1,259
51.08,-2.713,White/Buff-tailed Bumblebee workers,1,258
55.92,-3.269,Buff-tailed Bumblebee,1,258
51.04,-2.665,White/Buff-tailed Bumblebee workers,1,256
51.15,-2.769,Common Carder,1,256
53.74,-2.23,Buff-tailed Bumblebee,1,256
