,lat,lon,Species,Present,Total,elevation,Apple,Pear,Plum,Cherry,Damson,VetTrees10,Vet_11_30,Vet_31_100,Vet_100,YFT10,YFT_11_30,YFT_31_100,YFT_100,Grazed,Mown,Unmanaged,Sheep,Cattle,Equine,Pigs,Fowl,GrazingDmg,BranchHols,Loose_bark,Cavities,DW_Canopy,DW_Floor,WaterPools,Crevices,Sap_runs,FungalFrts,AerialRts,Hedgerows,Ponds,VetTrees,RoughAreas
39,51.65,-1.868,Buff-tailed Bumblebee,1,706,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,54.98,-1.812,Honeybee,1,702,10.0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,54.75,-2.014,White/Buff-tailed Bumblebee workers,1,675,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,51.83,-0.7956,Honeybee,1,670,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,51.47,0.08189,Honeybee,1,663,70.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
44,51.22,-1.976,Honeybee,1,654,100.0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
45,51.77,-0.6898,Honeybee,1,641,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,51.16,-2.844,Common Carder,1,631,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,56.2,-3.423,Buff-tailed Bumblebee,1,628,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,51.57,-0.05343,Honeybee,1,614,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,55.86,-3.174,Buff-tailed Bumblebee,1,614,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51.0,0.5895,Red-tailed Bumblebee,1,603,50.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,52.24,-0.06821,Red-tailed Bumblebee,1,600,30.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,54.29,-4.34,Common Carder,1,595,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,51.57,-0.05343,White/Buff-tailed Bumblebee workers,1,593,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
