,lat,lon,index,lat,lon
184,55.31,-1.887,226027,55.31,-1.894
185,50.89,-0.8342,17370,50.88,-0.8489
186,50.64,-1.934,5734,50.64,-1.951
187,50.8,-1.549,11116,50.8,-1.55
188,51.47,-2.16,59845,51.47,-2.15
189,51.62,0.8196,90680,51.62,0.8196
190,51.09,-2.711,25390,51.08,-2.723
191,51.64,-1.905,90912,51.63,-1.894
192,54.77,-2.085,218550,54.77,-2.082
193,54.86,-1.72,219784,54.86,-1.719
194,50.87,-0.6043,16256,50.86,-0.6177
195,51.15,-2.77,28417,51.14,-2.761
196,50.94,-2.824,19736,50.94,-2.816
197,51.17,-2.85,30323,51.18,-2.857
198,54.19,-2.348,211663,54.2,-2.348
199,51.2,-2.832,31721,51.21,-2.818
200,51.68,-2.531,98402,51.71,-2.534
201,51.16,-2.853,29029,51.15,-2.863
202,50.69,-3.301,6135,50.68,-3.301
203,55.95,-3.151,236305,55.95,-3.151
204,51.61,-1.233,88011,51.61,-1.233
205,54.06,-1.451,210013,54.06,-1.453
206,51.03,-2.669,23127,51.02,-2.671
207,56.02,-2.858,237869,56.01,-2.857
208,50.93,0.92,20496,50.95,0.9162
209,51.91,-4.349,111184,51.9,-4.361
210,52.95,-1.479,158923,52.95,-1.479
211,51.07,1.073,25279,51.07,1.073
212,51.87,-4.971,107980,51.85,-4.965
213,54.96,-1.397,222432,54.96,-1.4
214,52.31,0.2911,129686,52.32,0.292
215,54.3,-2.794,212632,54.3,-2.797
216,55.96,-2.801,236782,55.96,-2.803
217,51.59,-1.97,82679,51.58,-1.962
218,51.69,-2.858,96945,51.69,-2.856
219,51.11,0.2229,27611,51.12,0.2256
220,51.32,-0.928,39251,51.32,-0.9344
221,56.52,-2.665,241636,56.52,-2.669
222,51.3,-0.831,37764,51.3,-0.8294
223,50.85,-1.852,14176,50.84,-1.846
224,52.41,-4.076,133360,52.41,-4.076
225,55.95,-3.166,236300,55.95,-3.168
226,53.79,-1.366,203128,53.79,-1.366
227,54.41,-1.746,213484,54.41,-1.746
228,51.35,1.016,42686,51.35,1.015
229,51.23,0.4878,33186,51.23,0.489
230,51.11,-2.457,26743,51.11,-2.457
231,50.13,-5.078,430,50.14,-5.08
232,53.79,-0.4168,203197,53.79,-0.4209
233,55.78,-4.86,229594,55.78,-4.861
234,52.9,-3.124,156527,52.9,-3.115
235,53.12,-2.768,165390,53.12,-2.768
236,57.67,-3.318,245772,57.66,-3.319
237,51.08,1.085,25761,51.08,1.085
238,51.5,-0.9195,65780,51.5,-0.9205
239,52.56,-0.3079,142266,52.56,-0.3098
240,54.2,-2.141,211298,54.16,-2.132
241,55.8,-4.213,230192,55.8,-4.217
242,53.49,-2.071,184891,53.49,-2.071
243,54.88,-3.669,220706,54.9,-3.68
244,55.89,-3.69,233725,55.89,-3.69
245,52.07,-4.755,118597,52.06,-4.765
246,51.2,1.281,31620,51.2,1.273
247,55.97,-2.854,236780,55.96,-2.867
248,56.57,-3.181,241836,56.58,-3.195
249,50.83,-1.056,13394,50.83,-1.055
250,51.38,0.6697,46602,51.38,0.6624
251,51.86,-2.08,108580,51.86,-2.075
252,56.3,-3.159,240252,56.31,-3.165
253,51.95,-4.178,113711,51.95,-4.152
254,57.27,-2.415,243920,57.26,-2.401
255,51.06,-0.3148,24695,51.06,-0.3153
256,53.11,-1.568,165189,53.11,-1.565
257,56.21,-3.406,239852,56.21,-3.416
258,56.52,-2.666,241636,56.52,-2.669
259,50.69,-1.521,6356,50.69,-1.52
260,54.2,-2.118,211566,54.19,-2.099
261,55.43,-4.652,226476,55.43,-4.656
262,56.07,-3.466,238496,56.07,-3.466
263,51.18,-1.677,30375,51.18,-1.675
264,56.44,-3.486,240915,56.45,-3.479
265,49.71,-2.2,4528,50.53,-2.44
266,51.21,-1.689,31800,51.21,-1.676
267,52.09,1.315,120570,52.09,1.315
268,51.06,-1.789,24532,51.06,-1.79
269,51.15,-2.801,28416,51.14,-2.801
270,50.85,-1.055,15277,50.85,-1.055
271,50.93,0.7582,20041,50.94,0.76
272,54.07,-1.979,210149,54.07,-1.979
273,53.26,-2.73,170757,53.26,-2.736
274,53.05,-1.805,163739,53.07,-1.817
275,53.11,-1.565,165189,53.11,-1.565
276,50.85,-2.239,15032,50.85,-2.241
277,50.86,0.619,17153,50.87,0.6152
278,50.93,0.9214,20496,50.95,0.9162
279,55.44,-5.141,226549,55.44,-5.109
280,51.64,-1.983,92154,51.64,-1.987
281,55.82,-4.375,230681,55.82,-4.373
282,55.98,-2.904,237300,55.98,-2.899
283,50.96,0.814,20914,50.96,0.8224
284,51.2,-2.823,31721,51.21,-2.818
285,56.99,-3.488,242648,57.01,-3.408
286,54.83,-1.852,219276,54.83,-1.853
287,51.29,-2.64,36856,51.29,-2.632
288,55.94,-3.471,235719,55.94,-3.471
289,57.34,-2.186,244202,57.34,-2.185
290,52.11,-2.074,120983,52.11,-2.074
291,56.12,-3.128,239046,56.12,-3.132
292,56.35,-5.117,240366,56.34,-5.129
293,53.52,-2.044,186832,53.52,-2.044
294,53.11,-3.462,165347,53.12,-3.472
295,53.19,-2.883,167790,53.19,-2.883
296,54.12,-2.179,210948,54.13,-2.157
297,55.8,-4.608,230084,55.8,-4.615
298,50.77,-0.752,9476,50.77,-0.7441
299,51.13,-3.352,27784,51.13,-3.349
300,51.21,1.375,32185,51.21,1.376
301,57.62,-3.105,245569,57.62,-3.1
302,51.14,0.276,28752,51.14,0.2755
303,53.25,-2.081,169979,53.24,-2.084
304,56.16,-3.707,239373,56.15,-3.722
305,51.44,0.3164,55933,51.44,0.3155
306,51.58,-0.05151,83606,51.58,-0.05575
307,52.59,-1.088,144180,52.59,-1.089
308,50.92,0.9336,20497,50.95,0.9338
309,51.19,-2.12,30357,51.18,-2.111
310,51.44,-2.714,54546,51.44,-2.722
311,52.51,-2.24,139184,52.51,-2.249
312,53.77,-2.628,201261,53.77,-2.648
313,55.54,-4.661,227138,55.54,-4.662
314,56.33,-3.016,240326,56.33,-3.016
315,50.93,0.9216,20496,50.95,0.9162
316,51.24,-2.374,33343,51.24,-2.378
317,51.67,0.5712,95972,51.67,0.5756
318,51.0,-0.1229,22399,51.0,-0.1196
319,52.37,-2.311,131343,52.37,-2.312
320,51.57,-0.3795,81075,51.57,-0.3796
321,53.62,-2.337,193327,53.62,-2.338
322,54.97,-1.355,222437,54.96,-1.361
323,50.96,0.7984,20050,50.94,0.7919
324,56.02,-4.134,238017,56.03,-4.168
325,51.63,-0.8818,92236,51.64,-0.8767
326,55.83,-4.149,231208,55.83,-4.15
327,54.38,-2.14,213282,54.38,-2.134
328,52.93,-2.399,157594,52.92,-2.396
329,54.14,-0.7861,211166,54.14,-0.7893
330,51.08,-2.654,25392,51.08,-2.657
331,51.64,0.01308,92803,51.64,0.00509
332,51.92,-1.872,112561,51.92,-1.866
333,55.38,-1.918,226232,55.37,-1.936
334,50.69,-3.319,6131,50.68,-3.32
335,50.96,0.8153,20914,50.96,0.8224
336,54.29,-2.84,212505,54.29,-2.836
337,55.83,-4.278,231128,55.83,-4.278
338,53.91,-1.762,207649,53.91,-1.761
339,54.18,-2.187,211821,54.22,-2.195
340,51.37,0.3075,45069,51.37,0.3066
341,51.93,-2.954,113362,51.94,-2.948
342,56.64,-2.709,242040,56.64,-2.708
343,50.68,-3.311,6132,50.68,-3.311
344,58.56,-3.773,246551,58.56,-3.79
345,50.29,-4.812,1419,50.28,-4.81
346,50.96,0.9224,20918,50.96,0.9166
347,52.06,-2.683,118687,52.06,-2.682
348,53.56,-2.614,189493,53.56,-2.614
349,50.46,-3.565,3742,50.46,-3.57
350,50.93,0.9299,20497,50.95,0.9338
351,53.1,-1.577,164846,53.1,-1.586
352,53.61,-2.169,192954,53.61,-2.169
353,53.97,-2.436,208728,53.97,-2.436
354,55.79,-4.201,229952,55.79,-4.207
355,55.92,-4.465,234749,55.92,-4.458
356,55.97,-3.203,236996,55.97,-3.203
357,57.46,-4.249,244578,57.46,-4.241
358,50.72,-1.231,7351,50.72,-1.23
359,50.92,0.9753,19706,50.93,0.9715
360,50.96,0.8097,20914,50.96,0.8224
361,51.78,-2.693,103885,51.78,-2.696
362,51.92,-4.825,112462,51.92,-4.83
363,54.09,-2.268,210359,54.09,-2.279
364,50.96,0.7983,20050,50.94,0.7919
365,51.29,0.2702,37415,51.29,0.2718
366,52.56,1.435,142474,52.56,1.435
367,50.96,-1.368,20657,50.96,-1.368
368,50.96,0.8197,20914,50.96,0.8224
369,51.27,1.373,36056,51.27,1.374
370,54.19,-2.909,211555,54.19,-2.909
371,55.0,-1.595,223633,55.0,-1.594
372,52.79,-2.09,153734,52.79,-2.089
373,54.08,-0.4684,210187,54.07,-0.4739
374,55.92,-3.237,234969,55.92,-3.236
375,51.5,-0.267,66218,51.5,-0.2671
376,52.93,-1.191,158250,52.93,-1.194
377,51.05,0.8877,24380,51.05,0.8926
378,51.46,0.2958,59535,51.46,0.2932
379,51.74,-4.671,100356,51.74,-4.673
380,51.41,0.1195,50918,51.41,0.118
381,51.19,-2.791,30713,51.19,-2.804
382,51.88,-2.046,109752,51.88,-2.045
383,50.88,0.6599,17566,50.88,0.6618
384,51.45,-2.115,56296,51.45,-2.112
385,53.84,-1.731,205584,53.84,-1.731
386,56.07,-3.194,238653,56.08,-3.19
387,50.84,-1.037,14298,50.84,-1.037
388,51.58,-2.83,82625,51.58,-2.83
389,55.83,-6.356,230620,55.82,-6.313
390,51.84,-4.148,107114,51.83,-4.147
391,54.84,-1.72,219441,54.84,-1.731
392,51.04,-0.7347,23887,51.04,-0.7266
