County,Species,CountySpecies,Agg Total,Agg Present
Linlithgow,Bull-headed Furrow Bee,Linlithgow Bull-headed Furrow Bee,0,0
Mid Perthshire,Bull-headed Furrow Bee,Mid Perthshire Bull-headed Furrow Bee,0,0
Mid-west Yorkshire,Bull-headed Furrow Bee,Mid-west Yorkshire Bull-headed Furrow Bee,0,0
Middlesex,Bull-headed Furrow Bee,Middlesex Bull-headed Furrow Bee,0,0
Midlothian,Bull-headed Furrow Bee,Midlothian Bull-headed Furrow Bee,0,0
Monmouthshire,Bull-headed Furrow Bee,Monmouthshire Bull-headed Furrow Bee,0,0
Moray,Bull-headed Furrow Bee,Moray Bull-headed Furrow Bee,0,0
North Aberdeenshire,Bull-headed Furrow Bee,North Aberdeenshire Bull-headed Furrow Bee,0,0
North Ayrshire,Bull-headed Furrow Bee,North Ayrshire Bull-headed Furrow Bee,0,0
North Devon,Bull-headed Furrow Bee,North Devon Bull-headed Furrow Bee,0,0
North Essex,Bull-headed Furrow Bee,North Essex Bull-headed Furrow Bee,0,0
North Hampshire,Bull-headed Furrow Bee,North Hampshire Bull-headed Furrow Bee,0,0
North Lanarkshire,Bull-headed Furrow Bee,North Lanarkshire Bull-headed Furrow Bee,0,0
North Lincolnshire,Bull-headed Furrow Bee,North Lincolnshire Bull-headed Furrow Bee,0,0
North Northumberland,Bull-headed Furrow Bee,North Northumberland Bull-headed Furrow Bee,0,0
North Somerset,Bull-headed Furrow Bee,North Somerset Bull-headed Furrow Bee,0,0
North Wiltshire,Bull-headed Furrow Bee,North Wiltshire Bull-headed Furrow Bee,0,0
North-east Yorkshire,Bull-headed Furrow Bee,North-east Yorkshire Bull-headed Furrow Bee,0,0
North-west Yorkshire,Bull-headed Furrow Bee,North-west Yorkshire Bull-headed Furrow Bee,0,0
Northamptonshire,Bull-headed Furrow Bee,Northamptonshire Bull-headed Furrow Bee,0,0
Northumberland,Bull-headed Furrow Bee,Northumberland Bull-headed Furrow Bee,0,0
Nottinghamshire,Bull-headed Furrow Bee,Nottinghamshire Bull-headed Furrow Bee,0,0
Orkney,Bull-headed Furrow Bee,Orkney Bull-headed Furrow Bee,0,0
Oxfordshire,Bull-headed Furrow Bee,Oxfordshire Bull-headed Furrow Bee,0,0
Pembrokeshire,Bull-headed Furrow Bee,Pembrokeshire Bull-headed Furrow Bee,0,0
Perthshire,Bull-headed Furrow Bee,Perthshire Bull-headed Furrow Bee,0,0
Radnorshire,Bull-headed Furrow Bee,Radnorshire Bull-headed Furrow Bee,0,0
Renfrewshire,Bull-headed Furrow Bee,Renfrewshire Bull-headed Furrow Bee,0,0
Roxburghshire,Bull-headed Furrow Bee,Roxburghshire Bull-headed Furrow Bee,0,0
Shropshire,Bull-headed Furrow Bee,Shropshire Bull-headed Furrow Bee,0,0
South Aberdeenshire,Bull-headed Furrow Bee,South Aberdeenshire Bull-headed Furrow Bee,0,0
South Devon,Bull-headed Furrow Bee,South Devon Bull-headed Furrow Bee,0,0
South East Yorkshire,Bull-headed Furrow Bee,South East Yorkshire Bull-headed Furrow Bee,0,0
South Ebudes,Bull-headed Furrow Bee,South Ebudes Bull-headed Furrow Bee,0,0
South Essex,Bull-headed Furrow Bee,South Essex Bull-headed Furrow Bee,0,0
South Hampshire,Bull-headed Furrow Bee,South Hampshire Bull-headed Furrow Bee,0,0
South Lanarkshire,Bull-headed Furrow Bee,South Lanarkshire Bull-headed Furrow Bee,0,0
South Lancashire,Bull-headed Furrow Bee,South Lancashire Bull-headed Furrow Bee,0,0
South Lincolnshire,Bull-headed Furrow Bee,South Lincolnshire Bull-headed Furrow Bee,0,0
South Northumberland,Bull-headed Furrow Bee,South Northumberland Bull-headed Furrow Bee,0,0
South Somerset,Bull-headed Furrow Bee,South Somerset Bull-headed Furrow Bee,0,0
South Wiltshire,Bull-headed Furrow Bee,South Wiltshire Bull-headed Furrow Bee,0,0
South-east Yorkshire,Bull-headed Furrow Bee,South-east Yorkshire Bull-headed Furrow Bee,0,0
South-west Yorkshire,Bull-headed Furrow Bee,South-west Yorkshire Bull-headed Furrow Bee,0,0
Staffordshire,Bull-headed Furrow Bee,Staffordshire Bull-headed Furrow Bee,0,0
Stirlingshire,Bull-headed Furrow Bee,Stirlingshire Bull-headed Furrow Bee,0,0
Surrey,Bull-headed Furrow Bee,Surrey Bull-headed Furrow Bee,0,0
Sussex,Bull-headed Furrow Bee,Sussex Bull-headed Furrow Bee,0,0
Warwickshire,Bull-headed Furrow Bee,Warwickshire Bull-headed Furrow Bee,0,0
West Cornwall with Scilly,Bull-headed Furrow Bee,West Cornwall with Scilly Bull-headed Furrow Bee,0,0
West Gloucestershire,Bull-headed Furrow Bee,West Gloucestershire Bull-headed Furrow Bee,0,0
West Inverness-shire,Bull-headed Furrow Bee,West Inverness-shire Bull-headed Furrow Bee,0,0
West Kent,Bull-headed Furrow Bee,West Kent Bull-headed Furrow Bee,1,1
West Lancashire,Bull-headed Furrow Bee,West Lancashire Bull-headed Furrow Bee,0,0
West Norfolk,Bull-headed Furrow Bee,West Norfolk Bull-headed Furrow Bee,0,0
West Perthshire,Bull-headed Furrow Bee,West Perthshire Bull-headed Furrow Bee,0,0
West Suffolk,Bull-headed Furrow Bee,West Suffolk Bull-headed Furrow Bee,0,0
West Sussex,Bull-headed Furrow Bee,West Sussex Bull-headed Furrow Bee,0,0
Westmorland,Bull-headed Furrow Bee,Westmorland Bull-headed Furrow Bee,0,0
Worcestershire,Bull-headed Furrow Bee,Worcestershire Bull-headed Furrow Bee,0,0
Yorkshire,Bull-headed Furrow Bee,Yorkshire Bull-headed Furrow Bee,0,0
Aberdeenshire,Long-faced Furrow Bee,Aberdeenshire Long-faced Furrow Bee,0,0
Alderney,Long-faced Furrow Bee,Alderney Long-faced Furrow Bee,0,0
Angus,Long-faced Furrow Bee,Angus Long-faced Furrow Bee,0,0
Argyll & Bute,Long-faced Furrow Bee,Argyll & Bute Long-faced Furrow Bee,0,0
Argyllshire,Long-faced Furrow Bee,Argyllshire Long-faced Furrow Bee,0,0
Ayrshire,Long-faced Furrow Bee,Ayrshire Long-faced Furrow Bee,0,0
Bedfordshire,Long-faced Furrow Bee,Bedfordshire Long-faced Furrow Bee,0,0
Berkshire,Long-faced Furrow Bee,Berkshire Long-faced Furrow Bee,0,0
Berwickshire,Long-faced Furrow Bee,Berwickshire Long-faced Furrow Bee,0,0
Buckinghamshire,Long-faced Furrow Bee,Buckinghamshire Long-faced Furrow Bee,0,0
Caernarvonshire,Long-faced Furrow Bee,Caernarvonshire Long-faced Furrow Bee,0,0
Caithness,Long-faced Furrow Bee,Caithness Long-faced Furrow Bee,0,0
Camarthenshire,Long-faced Furrow Bee,Camarthenshire Long-faced Furrow Bee,0,0
Cambridgeshire,Long-faced Furrow Bee,Cambridgeshire Long-faced Furrow Bee,0,0
Cardiganshire,Long-faced Furrow Bee,Cardiganshire Long-faced Furrow Bee,0,0
Carmarthenshire,Long-faced Furrow Bee,Carmarthenshire Long-faced Furrow Bee,0,0
Ceredigion,Long-faced Furrow Bee,Ceredigion Long-faced Furrow Bee,0,0
Cheshire,Long-faced Furrow Bee,Cheshire Long-faced Furrow Bee,0,0
Clyde Isles,Long-faced Furrow Bee,Clyde Isles Long-faced Furrow Bee,0,0
Conwy,Long-faced Furrow Bee,Conwy Long-faced Furrow Bee,0,0
County Durham,Long-faced Furrow Bee,County Durham Long-faced Furrow Bee,0,0
Cumberland,Long-faced Furrow Bee,Cumberland Long-faced Furrow Bee,0,0
Denbighshire,Long-faced Furrow Bee,Denbighshire Long-faced Furrow Bee,0,0
Derbyshire,Long-faced Furrow Bee,Derbyshire Long-faced Furrow Bee,0,0
Dorset,Long-faced Furrow Bee,Dorset Long-faced Furrow Bee,0,0
Dumfriesshire,Long-faced Furrow Bee,Dumfriesshire  Long-faced Furrow Bee,0,0
Dunbartonshire,Long-faced Furrow Bee,Dunbartonshire Long-faced Furrow Bee,0,0
East Cornwall,Long-faced Furrow Bee,East Cornwall Long-faced Furrow Bee,0,0
East Gloucestershire,Long-faced Furrow Bee,East Gloucestershire Long-faced Furrow Bee,0,0
East Inverness-shire,Long-faced Furrow Bee,East Inverness-shire Long-faced Furrow Bee,0,0
East Kent,Long-faced Furrow Bee,East Kent Long-faced Furrow Bee,0,0
East Lothian,Long-faced Furrow Bee,East Lothian Long-faced Furrow Bee,0,0
East Norfolk,Long-faced Furrow Bee,East Norfolk Long-faced Furrow Bee,0,0
East Perthshire,Long-faced Furrow Bee,East Perthshire Long-faced Furrow Bee,0,0
East Suffolk,Long-faced Furrow Bee,East Suffolk Long-faced Furrow Bee,0,0
East Sussex,Long-faced Furrow Bee,East Sussex Long-faced Furrow Bee,1,1
East Sutherland,Long-faced Furrow Bee,East Sutherland Long-faced Furrow Bee,0,0
Fifeshire,Long-faced Furrow Bee,Fifeshire Long-faced Furrow Bee,0,0
Flintshire,Long-faced Furrow Bee,Flintshire Long-faced Furrow Bee,0,0
Glamorganshire,Long-faced Furrow Bee,Glamorganshire Long-faced Furrow Bee,0,0
Gwent,Long-faced Furrow Bee,Gwent Long-faced Furrow Bee,0,0
Herefordshire,Long-faced Furrow Bee,Herefordshire Long-faced Furrow Bee,0,0
Hertfordshire,Long-faced Furrow Bee,Hertfordshire Long-faced Furrow Bee,0,0
Huntingdonshire,Long-faced Furrow Bee,Huntingdonshire Long-faced Furrow Bee,0,0
Isle of Man,Long-faced Furrow Bee,Isle of Man Long-faced Furrow Bee,0,0
Isle of Wight,Long-faced Furrow Bee,Isle of Wight Long-faced Furrow Bee,0,0
Kincardineshire,Long-faced Furrow Bee,Kincardineshire Long-faced Furrow Bee,0,0
Kirkudbrightshire,Long-faced Furrow Bee,Kirkudbrightshire Long-faced Furrow Bee,0,0
Lanarkshire,Long-faced Furrow Bee,Lanarkshire Long-faced Furrow Bee,0,0
Lancashire,Long-faced Furrow Bee,Lancashire Long-faced Furrow Bee,0,0
Leicestershire,Long-faced Furrow Bee,Leicestershire Long-faced Furrow Bee,0,0
Lincolnshire,Long-faced Furrow Bee,Lincolnshire Long-faced Furrow Bee,0,0
Linlithgow,Long-faced Furrow Bee,Linlithgow Long-faced Furrow Bee,0,0
Mid Perthshire,Long-faced Furrow Bee,Mid Perthshire Long-faced Furrow Bee,0,0
Mid-west Yorkshire,Long-faced Furrow Bee,Mid-west Yorkshire Long-faced Furrow Bee,0,0
Middlesex,Long-faced Furrow Bee,Middlesex Long-faced Furrow Bee,0,0
Midlothian,Long-faced Furrow Bee,Midlothian Long-faced Furrow Bee,0,0
Monmouthshire,Long-faced Furrow Bee,Monmouthshire Long-faced Furrow Bee,0,0
Moray,Long-faced Furrow Bee,Moray Long-faced Furrow Bee,0,0
North Aberdeenshire,Long-faced Furrow Bee,North Aberdeenshire Long-faced Furrow Bee,0,0
North Ayrshire,Long-faced Furrow Bee,North Ayrshire Long-faced Furrow Bee,0,0
North Devon,Long-faced Furrow Bee,North Devon Long-faced Furrow Bee,0,0
North Essex,Long-faced Furrow Bee,North Essex Long-faced Furrow Bee,0,0
North Hampshire,Long-faced Furrow Bee,North Hampshire Long-faced Furrow Bee,0,0
North Lanarkshire,Long-faced Furrow Bee,North Lanarkshire Long-faced Furrow Bee,0,0
North Lincolnshire,Long-faced Furrow Bee,North Lincolnshire Long-faced Furrow Bee,0,0
North Northumberland,Long-faced Furrow Bee,North Northumberland Long-faced Furrow Bee,0,0
North Somerset,Long-faced Furrow Bee,North Somerset Long-faced Furrow Bee,0,0
North Wiltshire,Long-faced Furrow Bee,North Wiltshire Long-faced Furrow Bee,0,0
North-east Yorkshire,Long-faced Furrow Bee,North-east Yorkshire Long-faced Furrow Bee,0,0
North-west Yorkshire,Long-faced Furrow Bee,North-west Yorkshire Long-faced Furrow Bee,0,0
Northamptonshire,Long-faced Furrow Bee,Northamptonshire Long-faced Furrow Bee,0,0
Northumberland,Long-faced Furrow Bee,Northumberland Long-faced Furrow Bee,0,0
Nottinghamshire,Long-faced Furrow Bee,Nottinghamshire Long-faced Furrow Bee,0,0
Orkney,Long-faced Furrow Bee,Orkney Long-faced Furrow Bee,0,0
Oxfordshire,Long-faced Furrow Bee,Oxfordshire Long-faced Furrow Bee,0,0
Pembrokeshire,Long-faced Furrow Bee,Pembrokeshire Long-faced Furrow Bee,0,0
Perthshire,Long-faced Furrow Bee,Perthshire Long-faced Furrow Bee,0,0
Radnorshire,Long-faced Furrow Bee,Radnorshire Long-faced Furrow Bee,0,0
Renfrewshire,Long-faced Furrow Bee,Renfrewshire Long-faced Furrow Bee,0,0
Roxburghshire,Long-faced Furrow Bee,Roxburghshire Long-faced Furrow Bee,0,0
Shropshire,Long-faced Furrow Bee,Shropshire Long-faced Furrow Bee,0,0
South Aberdeenshire,Long-faced Furrow Bee,South Aberdeenshire Long-faced Furrow Bee,0,0
South Devon,Long-faced Furrow Bee,South Devon Long-faced Furrow Bee,0,0
South East Yorkshire,Long-faced Furrow Bee,South East Yorkshire Long-faced Furrow Bee,0,0
South Ebudes,Long-faced Furrow Bee,South Ebudes Long-faced Furrow Bee,0,0
South Essex,Long-faced Furrow Bee,South Essex Long-faced Furrow Bee,0,0
South Hampshire,Long-faced Furrow Bee,South Hampshire Long-faced Furrow Bee,0,0
South Lanarkshire,Long-faced Furrow Bee,South Lanarkshire Long-faced Furrow Bee,0,0
South Lancashire,Long-faced Furrow Bee,South Lancashire Long-faced Furrow Bee,0,0
South Lincolnshire,Long-faced Furrow Bee,South Lincolnshire Long-faced Furrow Bee,0,0
South Northumberland,Long-faced Furrow Bee,South Northumberland Long-faced Furrow Bee,0,0
South Somerset,Long-faced Furrow Bee,South Somerset Long-faced Furrow Bee,0,0
South Wiltshire,Long-faced Furrow Bee,South Wiltshire Long-faced Furrow Bee,0,0
South-east Yorkshire,Long-faced Furrow Bee,South-east Yorkshire Long-faced Furrow Bee,0,0
South-west Yorkshire,Long-faced Furrow Bee,South-west Yorkshire Long-faced Furrow Bee,0,0
Staffordshire,Long-faced Furrow Bee,Staffordshire Long-faced Furrow Bee,0,0
Stirlingshire,Long-faced Furrow Bee,Stirlingshire Long-faced Furrow Bee,0,0
Surrey,Long-faced Furrow Bee,Surrey Long-faced Furrow Bee,0,0
Sussex,Long-faced Furrow Bee,Sussex Long-faced Furrow Bee,0,0
Warwickshire,Long-faced Furrow Bee,Warwickshire Long-faced Furrow Bee,0,0
West Cornwall with Scilly,Long-faced Furrow Bee,West Cornwall with Scilly Long-faced Furrow Bee,0,0
West Gloucestershire,Long-faced Furrow Bee,West Gloucestershire Long-faced Furrow Bee,0,0
West Inverness-shire,Long-faced Furrow Bee,West Inverness-shire Long-faced Furrow Bee,0,0
West Kent,Long-faced Furrow Bee,West Kent Long-faced Furrow Bee,0,0
West Lancashire,Long-faced Furrow Bee,West Lancashire Long-faced Furrow Bee,0,0
West Norfolk,Long-faced Furrow Bee,West Norfolk Long-faced Furrow Bee,0,0
West Perthshire,Long-faced Furrow Bee,West Perthshire Long-faced Furrow Bee,0,0
West Suffolk,Long-faced Furrow Bee,West Suffolk Long-faced Furrow Bee,0,0
West Sussex,Long-faced Furrow Bee,West Sussex Long-faced Furrow Bee,0,0
Westmorland,Long-faced Furrow Bee,Westmorland Long-faced Furrow Bee,0,0
Worcestershire,Long-faced Furrow Bee,Worcestershire Long-faced Furrow Bee,0,0
Yorkshire,Long-faced Furrow Bee,Yorkshire Long-faced Furrow Bee,0,0
Aberdeenshire,White-zoned Furrow Bee,Aberdeenshire White-zoned Furrow Bee,0,0
Alderney,White-zoned Furrow Bee,Alderney White-zoned Furrow Bee,0,0
Angus,White-zoned Furrow Bee,Angus White-zoned Furrow Bee,0,0
Argyll & Bute,White-zoned Furrow Bee,Argyll & Bute White-zoned Furrow Bee,0,0
Argyllshire,White-zoned Furrow Bee,Argyllshire White-zoned Furrow Bee,0,0
Ayrshire,White-zoned Furrow Bee,Ayrshire White-zoned Furrow Bee,0,0
Bedfordshire,White-zoned Furrow Bee,Bedfordshire White-zoned Furrow Bee,0,0
Berkshire,White-zoned Furrow Bee,Berkshire White-zoned Furrow Bee,0,0
Berwickshire,White-zoned Furrow Bee,Berwickshire White-zoned Furrow Bee,0,0
Buckinghamshire,White-zoned Furrow Bee,Buckinghamshire White-zoned Furrow Bee,0,0
Caernarvonshire,White-zoned Furrow Bee,Caernarvonshire White-zoned Furrow Bee,0,0
Caithness,White-zoned Furrow Bee,Caithness White-zoned Furrow Bee,0,0
Camarthenshire,White-zoned Furrow Bee,Camarthenshire White-zoned Furrow Bee,0,0
Cambridgeshire,White-zoned Furrow Bee,Cambridgeshire White-zoned Furrow Bee,0,0
Cardiganshire,White-zoned Furrow Bee,Cardiganshire White-zoned Furrow Bee,0,0
Carmarthenshire,White-zoned Furrow Bee,Carmarthenshire White-zoned Furrow Bee,0,0
Ceredigion,White-zoned Furrow Bee,Ceredigion White-zoned Furrow Bee,0,0
Cheshire,White-zoned Furrow Bee,Cheshire White-zoned Furrow Bee,0,0
Clyde Isles,White-zoned Furrow Bee,Clyde Isles White-zoned Furrow Bee,0,0
Conwy,White-zoned Furrow Bee,Conwy White-zoned Furrow Bee,0,0
County Durham,White-zoned Furrow Bee,County Durham White-zoned Furrow Bee,0,0
Cumberland,White-zoned Furrow Bee,Cumberland White-zoned Furrow Bee,0,0
Denbighshire,White-zoned Furrow Bee,Denbighshire White-zoned Furrow Bee,0,0
Derbyshire,White-zoned Furrow Bee,Derbyshire White-zoned Furrow Bee,0,0
Dorset,White-zoned Furrow Bee,Dorset White-zoned Furrow Bee,0,0
Dumfriesshire,White-zoned Furrow Bee,Dumfriesshire  White-zoned Furrow Bee,0,0
Dunbartonshire,White-zoned Furrow Bee,Dunbartonshire White-zoned Furrow Bee,0,0
East Cornwall,White-zoned Furrow Bee,East Cornwall White-zoned Furrow Bee,0,0
East Gloucestershire,White-zoned Furrow Bee,East Gloucestershire White-zoned Furrow Bee,0,0
East Inverness-shire,White-zoned Furrow Bee,East Inverness-shire White-zoned Furrow Bee,0,0
East Kent,White-zoned Furrow Bee,East Kent White-zoned Furrow Bee,0,0
East Lothian,White-zoned Furrow Bee,East Lothian White-zoned Furrow Bee,0,0
East Norfolk,White-zoned Furrow Bee,East Norfolk White-zoned Furrow Bee,0,0
East Perthshire,White-zoned Furrow Bee,East Perthshire White-zoned Furrow Bee,0,0
East Suffolk,White-zoned Furrow Bee,East Suffolk White-zoned Furrow Bee,0,0
East Sussex,White-zoned Furrow Bee,East Sussex White-zoned Furrow Bee,1,1
East Sutherland,White-zoned Furrow Bee,East Sutherland White-zoned Furrow Bee,0,0
Fifeshire,White-zoned Furrow Bee,Fifeshire White-zoned Furrow Bee,0,0
Flintshire,White-zoned Furrow Bee,Flintshire White-zoned Furrow Bee,0,0
Glamorganshire,White-zoned Furrow Bee,Glamorganshire White-zoned Furrow Bee,0,0
Gwent,White-zoned Furrow Bee,Gwent White-zoned Furrow Bee,0,0
Herefordshire,White-zoned Furrow Bee,Herefordshire White-zoned Furrow Bee,0,0
Hertfordshire,White-zoned Furrow Bee,Hertfordshire White-zoned Furrow Bee,0,0
Huntingdonshire,White-zoned Furrow Bee,Huntingdonshire White-zoned Furrow Bee,0,0
Isle of Man,White-zoned Furrow Bee,Isle of Man White-zoned Furrow Bee,0,0
Isle of Wight,White-zoned Furrow Bee,Isle of Wight White-zoned Furrow Bee,0,0
Kincardineshire,White-zoned Furrow Bee,Kincardineshire White-zoned Furrow Bee,0,0
Kirkudbrightshire,White-zoned Furrow Bee,Kirkudbrightshire White-zoned Furrow Bee,0,0
Lanarkshire,White-zoned Furrow Bee,Lanarkshire White-zoned Furrow Bee,0,0
Lancashire,White-zoned Furrow Bee,Lancashire White-zoned Furrow Bee,0,0
Leicestershire,White-zoned Furrow Bee,Leicestershire White-zoned Furrow Bee,0,0
Lincolnshire,White-zoned Furrow Bee,Lincolnshire White-zoned Furrow Bee,0,0
Linlithgow,White-zoned Furrow Bee,Linlithgow White-zoned Furrow Bee,0,0
Mid Perthshire,White-zoned Furrow Bee,Mid Perthshire White-zoned Furrow Bee,0,0
Mid-west Yorkshire,White-zoned Furrow Bee,Mid-west Yorkshire White-zoned Furrow Bee,0,0
Middlesex,White-zoned Furrow Bee,Middlesex White-zoned Furrow Bee,0,0
Midlothian,White-zoned Furrow Bee,Midlothian White-zoned Furrow Bee,0,0
Monmouthshire,White-zoned Furrow Bee,Monmouthshire White-zoned Furrow Bee,0,0
Moray,White-zoned Furrow Bee,Moray White-zoned Furrow Bee,0,0
North Aberdeenshire,White-zoned Furrow Bee,North Aberdeenshire White-zoned Furrow Bee,0,0
North Ayrshire,White-zoned Furrow Bee,North Ayrshire White-zoned Furrow Bee,0,0
North Devon,White-zoned Furrow Bee,North Devon White-zoned Furrow Bee,0,0
North Essex,White-zoned Furrow Bee,North Essex White-zoned Furrow Bee,0,0
North Hampshire,White-zoned Furrow Bee,North Hampshire White-zoned Furrow Bee,0,0
North Lanarkshire,White-zoned Furrow Bee,North Lanarkshire White-zoned Furrow Bee,0,0
North Lincolnshire,White-zoned Furrow Bee,North Lincolnshire White-zoned Furrow Bee,0,0
North Northumberland,White-zoned Furrow Bee,North Northumberland White-zoned Furrow Bee,0,0
North Somerset,White-zoned Furrow Bee,North Somerset White-zoned Furrow Bee,0,0
North Wiltshire,White-zoned Furrow Bee,North Wiltshire White-zoned Furrow Bee,0,0
North-east Yorkshire,White-zoned Furrow Bee,North-east Yorkshire White-zoned Furrow Bee,0,0
North-west Yorkshire,White-zoned Furrow Bee,North-west Yorkshire White-zoned Furrow Bee,0,0
Northamptonshire,White-zoned Furrow Bee,Northamptonshire White-zoned Furrow Bee,0,0
Northumberland,White-zoned Furrow Bee,Northumberland White-zoned Furrow Bee,0,0
Nottinghamshire,White-zoned Furrow Bee,Nottinghamshire White-zoned Furrow Bee,0,0
Orkney,White-zoned Furrow Bee,Orkney White-zoned Furrow Bee,0,0
Oxfordshire,White-zoned Furrow Bee,Oxfordshire White-zoned Furrow Bee,0,0
Pembrokeshire,White-zoned Furrow Bee,Pembrokeshire White-zoned Furrow Bee,0,0
Perthshire,White-zoned Furrow Bee,Perthshire White-zoned Furrow Bee,0,0
Radnorshire,White-zoned Furrow Bee,Radnorshire White-zoned Furrow Bee,0,0
Renfrewshire,White-zoned Furrow Bee,Renfrewshire White-zoned Furrow Bee,0,0
Roxburghshire,White-zoned Furrow Bee,Roxburghshire White-zoned Furrow Bee,0,0
Shropshire,White-zoned Furrow Bee,Shropshire White-zoned Furrow Bee,0,0
South Aberdeenshire,White-zoned Furrow Bee,South Aberdeenshire White-zoned Furrow Bee,0,0
South Devon,White-zoned Furrow Bee,South Devon White-zoned Furrow Bee,0,0
South East Yorkshire,White-zoned Furrow Bee,South East Yorkshire White-zoned Furrow Bee,0,0
South Ebudes,White-zoned Furrow Bee,South Ebudes White-zoned Furrow Bee,0,0
South Essex,White-zoned Furrow Bee,South Essex White-zoned Furrow Bee,0,0
South Hampshire,White-zoned Furrow Bee,South Hampshire White-zoned Furrow Bee,0,0
South Lanarkshire,White-zoned Furrow Bee,South Lanarkshire White-zoned Furrow Bee,0,0
South Lancashire,White-zoned Furrow Bee,South Lancashire White-zoned Furrow Bee,0,0
South Lincolnshire,White-zoned Furrow Bee,South Lincolnshire White-zoned Furrow Bee,0,0
South Northumberland,White-zoned Furrow Bee,South Northumberland White-zoned Furrow Bee,0,0
South Somerset,White-zoned Furrow Bee,South Somerset White-zoned Furrow Bee,0,0
South Wiltshire,White-zoned Furrow Bee,South Wiltshire White-zoned Furrow Bee,0,0
South-east Yorkshire,White-zoned Furrow Bee,South-east Yorkshire White-zoned Furrow Bee,0,0
South-west Yorkshire,White-zoned Furrow Bee,South-west Yorkshire White-zoned Furrow Bee,0,0
Staffordshire,White-zoned Furrow Bee,Staffordshire White-zoned Furrow Bee,0,0
Stirlingshire,White-zoned Furrow Bee,Stirlingshire White-zoned Furrow Bee,0,0
Surrey,White-zoned Furrow Bee,Surrey White-zoned Furrow Bee,0,0
Sussex,White-zoned Furrow Bee,Sussex White-zoned Furrow Bee,0,0
Warwickshire,White-zoned Furrow Bee,Warwickshire White-zoned Furrow Bee,0,0
West Cornwall with Scilly,White-zoned Furrow Bee,West Cornwall with Scilly White-zoned Furrow Bee,0,0
West Gloucestershire,White-zoned Furrow Bee,West Gloucestershire White-zoned Furrow Bee,0,0
West Inverness-shire,White-zoned Furrow Bee,West Inverness-shire White-zoned Furrow Bee,0,0
West Kent,White-zoned Furrow Bee,West Kent White-zoned Furrow Bee,0,0
West Lancashire,White-zoned Furrow Bee,West Lancashire White-zoned Furrow Bee,0,0
West Norfolk,White-zoned Furrow Bee,West Norfolk White-zoned Furrow Bee,0,0
West Perthshire,White-zoned Furrow Bee,West Perthshire White-zoned Furrow Bee,0,0
West Suffolk,White-zoned Furrow Bee,West Suffolk White-zoned Furrow Bee,0,0
West Sussex,White-zoned Furrow Bee,West Sussex White-zoned Furrow Bee,0,0
Westmorland,White-zoned Furrow Bee,Westmorland White-zoned Furrow Bee,0,0
Worcestershire,White-zoned Furrow Bee,Worcestershire White-zoned Furrow Bee,0,0
Yorkshire,White-zoned Furrow Bee,Yorkshire White-zoned Furrow Bee,0,0
Aberdeenshire,Least Mining Bee,Aberdeenshire Least Mining Bee,0,0
Alderney,Least Mining Bee,Alderney Least Mining Bee,0,0
Angus,Least Mining Bee,Angus Least Mining Bee,0,0
Argyll & Bute,Least Mining Bee,Argyll & Bute Least Mining Bee,0,0
Argyllshire,Least Mining Bee,Argyllshire Least Mining Bee,0,0
Ayrshire,Least Mining Bee,Ayrshire Least Mining Bee,0,0
Bedfordshire,Least Mining Bee,Bedfordshire Least Mining Bee,0,0
Berkshire,Least Mining Bee,Berkshire Least Mining Bee,0,0
Berwickshire,Least Mining Bee,Berwickshire Least Mining Bee,0,0
Buckinghamshire,Least Mining Bee,Buckinghamshire Least Mining Bee,0,0
Caernarvonshire,Least Mining Bee,Caernarvonshire Least Mining Bee,0,0
Caithness,Least Mining Bee,Caithness Least Mining Bee,0,0
Camarthenshire,Least Mining Bee,Camarthenshire Least Mining Bee,0,0
Cambridgeshire,Least Mining Bee,Cambridgeshire Least Mining Bee,0,0
Cardiganshire,Least Mining Bee,Cardiganshire Least Mining Bee,0,0
Carmarthenshire,Least Mining Bee,Carmarthenshire Least Mining Bee,0,0
Ceredigion,Least Mining Bee,Ceredigion Least Mining Bee,0,0
Cheshire,Least Mining Bee,Cheshire Least Mining Bee,0,0
Clyde Isles,Least Mining Bee,Clyde Isles Least Mining Bee,0,0
Conwy,Least Mining Bee,Conwy Least Mining Bee,0,0
County Durham,Least Mining Bee,County Durham Least Mining Bee,0,0
Cumberland,Least Mining Bee,Cumberland Least Mining Bee,0,0
Denbighshire,Least Mining Bee,Denbighshire Least Mining Bee,0,0
Derbyshire,Least Mining Bee,Derbyshire Least Mining Bee,0,0
Dorset,Least Mining Bee,Dorset Least Mining Bee,0,0
Dumfriesshire,Least Mining Bee,Dumfriesshire  Least Mining Bee,0,0
Dunbartonshire,Least Mining Bee,Dunbartonshire Least Mining Bee,0,0
East Cornwall,Least Mining Bee,East Cornwall Least Mining Bee,0,0
East Gloucestershire,Least Mining Bee,East Gloucestershire Least Mining Bee,0,0
East Inverness-shire,Least Mining Bee,East Inverness-shire Least Mining Bee,0,0
East Kent,Least Mining Bee,East Kent Least Mining Bee,0,0
East Lothian,Least Mining Bee,East Lothian Least Mining Bee,0,0
East Norfolk,Least Mining Bee,East Norfolk Least Mining Bee,0,0
East Perthshire,Least Mining Bee,East Perthshire Least Mining Bee,0,0
East Suffolk,Least Mining Bee,East Suffolk Least Mining Bee,0,0
East Sussex,Least Mining Bee,East Sussex Least Mining Bee,1,1
