County,Species,CountySpecies,Agg Total,Agg Present
West Inverness-shire,Buff-tailed Bumblebee,West Inverness-shire Buff-tailed Bumblebee,0,0
West Kent,Buff-tailed Bumblebee,West Kent Buff-tailed Bumblebee,1693,1
West Lancashire,Buff-tailed Bumblebee,West Lancashire Buff-tailed Bumblebee,127,1
West Norfolk,Buff-tailed Bumblebee,West Norfolk Buff-tailed Bumblebee,475,1
West Perthshire,Buff-tailed Bumblebee,West Perthshire Buff-tailed Bumblebee,365,1
West Suffolk,Buff-tailed Bumblebee,West Suffolk Buff-tailed Bumblebee,219,1
West Sussex,Buff-tailed Bumblebee,West Sussex Buff-tailed Bumblebee,606,1
Westmorland,Buff-tailed Bumblebee,Westmorland Buff-tailed Bumblebee,169,1
Worcestershire,Buff-tailed Bumblebee,Worcestershire Buff-tailed Bumblebee,68,1
Yorkshire,Buff-tailed Bumblebee,Yorkshire Buff-tailed Bumblebee,688,1
Aberdeenshire,Common Carder,Aberdeenshire Common Carder,89,1
Alderney,Common Carder,Alderney Common Carder,17,1
Angus,Common Carder,Angus Common Carder,563,1
Argyll & Bute,Common Carder,Argyll & Bute Common Carder,2,1
Argyllshire,Common Carder,Argyllshire Common Carder,128,1
Ayrshire,Common Carder,Ayrshire Common Carder,121,1
Bedfordshire,Common Carder,Bedfordshire Common Carder,20,1
Berkshire,Common Carder,Berkshire Common Carder,552,1
Berwickshire,Common Carder,Berwickshire Common Carder,0,0
Buckinghamshire,Common Carder,Buckinghamshire Common Carder,188,1
Caernarvonshire,Common Carder,Caernarvonshire Common Carder,108,1
Caithness,Common Carder,Caithness Common Carder,118,1
Camarthenshire,Common Carder,Camarthenshire Common Carder,3,1
Cambridgeshire,Common Carder,Cambridgeshire Common Carder,645,1
Cardiganshire,Common Carder,Cardiganshire Common Carder,122,1
Carmarthenshire,Common Carder,Carmarthenshire Common Carder,167,1
Ceredigion,Common Carder,Ceredigion Common Carder,136,1
Cheshire,Common Carder,Cheshire Common Carder,612,1
Clyde Isles,Common Carder,Clyde Isles Common Carder,141,1
Conwy,Common Carder,Conwy Common Carder,43,1
County Durham,Common Carder,County Durham Common Carder,1932,1
Cumberland,Common Carder,Cumberland Common Carder,272,1
Denbighshire,Common Carder,Denbighshire Common Carder,197,1
Derbyshire,Common Carder,Derbyshire Common Carder,1801,1
Dorset,Common Carder,Dorset Common Carder,166,1
Dumfriesshire,Common Carder,Dumfriesshire  Common Carder,267,1
Dunbartonshire,Common Carder,Dunbartonshire Common Carder,57,1
East Cornwall,Common Carder,East Cornwall Common Carder,17,1
East Gloucestershire,Common Carder,East Gloucestershire Common Carder,291,1
East Inverness-shire,Common Carder,East Inverness-shire Common Carder,312,1
East Kent,Common Carder,East Kent Common Carder,2746,1
East Lothian,Common Carder,East Lothian Common Carder,1522,1
East Norfolk,Common Carder,East Norfolk Common Carder,618,1
East Perthshire,Common Carder,East Perthshire Common Carder,102,1
East Suffolk,Common Carder,East Suffolk Common Carder,286,1
East Sussex,Common Carder,East Sussex Common Carder,968,1
East Sutherland,Common Carder,East Sutherland Common Carder,25,1
Fifeshire,Common Carder,Fifeshire Common Carder,4409,1
Flintshire,Common Carder,Flintshire Common Carder,8,1
Glamorganshire,Common Carder,Glamorganshire Common Carder,1000,1
Gwent,Common Carder,Gwent Common Carder,3,1
Herefordshire,Common Carder,Herefordshire Common Carder,535,1
Hertfordshire,Common Carder,Hertfordshire Common Carder,25,1
Huntingdonshire,Common Carder,Huntingdonshire Common Carder,79,1
Isle of Man,Common Carder,Isle of Man Common Carder,654,1
Isle of Wight,Common Carder,Isle of Wight Common Carder,245,1
Kincardineshire,Common Carder,Kincardineshire Common Carder,937,1
Kirkudbrightshire,Common Carder,Kirkudbrightshire Common Carder,24,1
Lanarkshire,Common Carder,Lanarkshire Common Carder,559,1
Lancashire,Common Carder,Lancashire Common Carder,310,1
Leicestershire,Common Carder,Leicestershire Common Carder,758,1
Lincolnshire,Common Carder,Lincolnshire Common Carder,49,1
Linlithgow,Common Carder,Linlithgow Common Carder,413,1
Mid Perthshire,Common Carder,Mid Perthshire Common Carder,780,1
Mid-west Yorkshire,Common Carder,Mid-west Yorkshire Common Carder,1305,1
Middlesex,Common Carder,Middlesex Common Carder,771,1
Midlothian,Common Carder,Midlothian Common Carder,2704,1
Monmouthshire,Common Carder,Monmouthshire Common Carder,302,1
Moray,Common Carder,Moray Common Carder,402,1
North Aberdeenshire,Common Carder,North Aberdeenshire Common Carder,54,1
North Ayrshire,Common Carder,North Ayrshire Common Carder,16,1
North Devon,Common Carder,North Devon Common Carder,492,1
North Essex,Common Carder,North Essex Common Carder,164,1
North Hampshire,Common Carder,North Hampshire Common Carder,369,1
North Lanarkshire,Common Carder,North Lanarkshire Common Carder,5,1
North Lincolnshire,Common Carder,North Lincolnshire Common Carder,10,1
North Northumberland,Common Carder,North Northumberland Common Carder,422,1
North Somerset,Common Carder,North Somerset Common Carder,11318,1
North Wiltshire,Common Carder,North Wiltshire Common Carder,1722,1
North-east Yorkshire,Common Carder,North-east Yorkshire Common Carder,388,1
North-west Yorkshire,Common Carder,North-west Yorkshire Common Carder,261,1
Northamptonshire,Common Carder,Northamptonshire Common Carder,292,1
Northumberland,Common Carder,Northumberland Common Carder,273,1
Nottinghamshire,Common Carder,Nottinghamshire Common Carder,220,1
Orkney,Common Carder,Orkney Common Carder,0,0
Oxfordshire,Common Carder,Oxfordshire Common Carder,310,1
Pembrokeshire,Common Carder,Pembrokeshire Common Carder,323,1
Perthshire,Common Carder,Perthshire Common Carder,18,1
Radnorshire,Common Carder,Radnorshire Common Carder,126,1
Renfrewshire,Common Carder,Renfrewshire Common Carder,1588,1
Roxburghshire,Common Carder,Roxburghshire Common Carder,0,0
Shropshire,Common Carder,Shropshire Common Carder,30,1
South Aberdeenshire,Common Carder,South Aberdeenshire Common Carder,396,1
South Devon,Common Carder,South Devon Common Carder,387,1
South East Yorkshire,Common Carder,South East Yorkshire Common Carder,33,1
South Ebudes,Common Carder,South Ebudes Common Carder,88,1
South Essex,Common Carder,South Essex Common Carder,1029,1
South Hampshire,Common Carder,South Hampshire Common Carder,957,1
South Lanarkshire,Common Carder,South Lanarkshire Common Carder,12,1
South Lancashire,Common Carder,South Lancashire Common Carder,1108,1
South Lincolnshire,Common Carder,South Lincolnshire Common Carder,11,1
South Northumberland,Common Carder,South Northumberland Common Carder,611,1
South Somerset,Common Carder,South Somerset Common Carder,194,1
South Wiltshire,Common Carder,South Wiltshire Common Carder,1608,1
South-east Yorkshire,Common Carder,South-east Yorkshire Common Carder,885,1
South-west Yorkshire,Common Carder,South-west Yorkshire Common Carder,102,1
Staffordshire,Common Carder,Staffordshire Common Carder,493,1
Stirlingshire,Common Carder,Stirlingshire Common Carder,1052,1
Surrey,Common Carder,Surrey Common Carder,702,1
Sussex,Common Carder,Sussex Common Carder,0,0
Warwickshire,Common Carder,Warwickshire Common Carder,327,1
West Cornwall with Scilly,Common Carder,West Cornwall with Scilly Common Carder,92,1
West Gloucestershire,Common Carder,West Gloucestershire Common Carder,486,1
West Inverness-shire,Common Carder,West Inverness-shire Common Carder,0,0
West Kent,Common Carder,West Kent Common Carder,1003,1
West Lancashire,Common Carder,West Lancashire Common Carder,407,1
West Norfolk,Common Carder,West Norfolk Common Carder,602,1
West Perthshire,Common Carder,West Perthshire Common Carder,686,1
West Suffolk,Common Carder,West Suffolk Common Carder,238,1
West Sussex,Common Carder,West Sussex Common Carder,341,1
Westmorland,Common Carder,Westmorland Common Carder,172,1
Worcestershire,Common Carder,Worcestershire Common Carder,201,1
Yorkshire,Common Carder,Yorkshire Common Carder,1624,1
Aberdeenshire,a white-tailed bumblebee,Aberdeenshire a white-tailed bumblebee,1,1
Alderney,a white-tailed bumblebee,Alderney a white-tailed bumblebee,0,0
Angus,a white-tailed bumblebee,Angus a white-tailed bumblebee,958,1
Argyll & Bute,a white-tailed bumblebee,Argyll & Bute a white-tailed bumblebee,1,1
Argyllshire,a white-tailed bumblebee,Argyllshire a white-tailed bumblebee,158,1
Ayrshire,a white-tailed bumblebee,Ayrshire a white-tailed bumblebee,195,1
Bedfordshire,a white-tailed bumblebee,Bedfordshire a white-tailed bumblebee,7,1
Berkshire,a white-tailed bumblebee,Berkshire a white-tailed bumblebee,544,1
Berwickshire,a white-tailed bumblebee,Berwickshire a white-tailed bumblebee,0,0
Buckinghamshire,a white-tailed bumblebee,Buckinghamshire a white-tailed bumblebee,126,1
Caernarvonshire,a white-tailed bumblebee,Caernarvonshire a white-tailed bumblebee,0,0
